ID251,ID252,ID253,ID254,ID255,ID256,ID257,ID258,ID259,ID260,ID261,ID262,ID263,ID264,ID265,ID266,ID267,ID268,ID269,ID270,ID271,ID272,ID273,ID274,ID275,ID276,ID277,ID278,ID279,ID280,ID281,ID282,ID283,ID284,ID285,ID286,ID287,ID288,ID289,ID290,ID291,ID292,ID293,ID294,ID295,ID296,ID297,ID298,ID299,ID300,ID301,ID302,ID303,ID304,ID305,ID306,ID307,ID308,ID309,ID310,ID311,ID312,ID313,ID314,ID315,ID316,ID317,ID318,ID319,ID320,ID321,ID322,ID323,ID324,ID325,ID326,ID327,ID328,ID329,ID330,ID331,ID332,ID333,ID334,ID335,ID336,ID337,ID338,ID339,ID340,ID341,ID342,ID343,ID344,ID345,ID346,ID347,ID348,ID349,ID350,ID351,ID352,ID353,ID354,ID355,ID356,ID357,ID358,ID359,ID360,ID361,ID362,ID363,ID364,ID365,ID366,ID367,ID368,ID369,ID370,ID371,ID372,ID373,ID374,ID375,ID376,ID377,ID378,ID379,ID380,ID381,ID382,ID383,ID384,ID385,ID386,ID387,ID388,ID389,ID390,ID391,ID392,ID393,ID394,ID395,ID396,ID397,ID398,ID399,ID400,ID401,ID402,ID403,ID404,ID405,ID406,ID407,ID408,ID409,ID410,ID411,ID412,ID413,ID414,ID415,ID416,ID417,ID418,ID419,ID420,ID421,ID422,ID423,ID424,ID425,ID426,ID427,ID428,ID429,ID430,ID431,ID432,ID433,ID434,ID435,ID436,ID437,ID438,ID439,ID440,ID441,ID442,ID443,ID444,ID445,ID446,ID447,ID448,ID449,ID450,ID451,ID452,ID453,ID454,ID455,ID456,ID457,ID458,ID459,ID460,ID461,ID462,ID463,ID464,ID465,ID466,ID467,ID468,ID469,ID470,ID471,ID472,ID473,ID474,ID475,ID476,ID477,ID478,ID479,ID480,ID481,ID482,ID483,ID484,ID485,ID486,ID487,ID488,ID489,ID490,ID491,ID492,ID493,ID494,ID495,ID496,ID497,ID498,ID499,ID500
6.3142,5.0601,3.5098,6.1129,3.828,3.462,5.8808,3.3779,4.3023,5.2617,4.2964,3.1156,3.7012,3.8034,5.8669,3.3278,5.6732,3.2329,5.407,3.9298,4.227,4.1917,4.8693,4.2739,6.0122,4.4135,4.4704,5.1031,3.9284,4.0571,4.5089,3.9733,4.9815,5.1735,4.7937,5.1845,4.1531,5.412,5.0449,4.6058,4.1626,3.9373,5.303,4.2184,3.1858,3.4733,3.9216,5.1681,5.0473,4.8469,4.5419,4.5396,4.2161,2.8264,4.1854,3.8934,3.738,3.5765,3.4949,3.1397,4.8065,6.3296,4.16,4.0937,5.3494,3.3967,3.1473,3.2586,6.0404,6.1012,4.2102,3.4064,5.9166,2.7992,3.9535,3.9759,5.8174,3.8581,3.9418,4.4101,5.7035,4.3167,4.4796,5.3671,3.3171,4.8661,3.4975,4.3918,5.1864,5.8016,3.9761,3.5008,5.6337,5.3503,4.2118,3.4338,5.2416,3.5016,3.972,4.1235,4.0509,4.5565,5.9061,5.1929,3.6142,4.6944,4.1696,5.3452,4.2709,5.0576,3.9905,5.1651,5.1692,3.1631,4.7107,3.3937,3.9485,5.3881,5.0753,3.738,5.2404,4.1183,3.8091,2.9482,6.0828,4.281,5.3273,5.6558,5.0824,6.2427,3.7201,4.3191,3.543,3.2472,4.9116,4.5482,2.9235,4.4106,4.3963,3.148,3.3516,3.4759,4.0726,4.0959,5.2898,4.4238,5.058,5.4036,5.4102,4.1724,5.5472,4.7734,5.5486,4.9709,3.423,3.5085,3.5778,2.6149,4.9212,4.0424,4.8184,4.8844,2.5003,4.331,4.0087,3.8508,4.6233,5.6014,5.241,2.5693,5.2648,3.4967,5.1276,4.3673,5.5286,2.965,3.5953,2.9281,4.0997,4.3086,4.0195,5.0332,3.0613,4.9588,6.0402,4.2585,2.8904,3.1208,4.9096,4.4398,4.0375,3.6122,4.7267,4.4165,3.866,4.373,4.3704,4.3234,3.2772,5.8125,6.1202,5.6153,4.2674,3.3505,3.9571,5.4607,4.0868,4.1372,3.581,5.3509,3.7934,4.4331,5.1083,5.4296,4.9119,4.8513,3.6584,3.7932,3.2472,3.9499,3.6279,5.6438,3.4255,3.1069,3.5274,2.7863,3.1087,6.3337,3.6066,5.6956,4.8526,5.1632,4.8292,4.6325,2.7075,4.431,3.9335,2.9922,5.5744,5.6788,2.6498,3.7403,4.8584,3.6174,5.6479,3.0697,4.2249,3.5658,3.5698,5.4775
6.3925,5.1152,3.5447,6.1669,3.9109,3.4995,5.946,3.4161,4.3604,5.3449,4.3778,3.1741,3.7948,3.8413,5.9386,3.3901,5.7512,3.2665,5.4783,3.9743,4.2902,4.278,4.9416,4.3315,6.0682,4.4725,4.5497,5.1917,4.0917,4.1128,4.5017,4.0207,5.1118,5.26,4.8662,5.2795,4.2074,5.5438,5.1328,4.676,4.2317,3.9862,5.355,4.3184,3.2185,3.4963,3.9644,5.2237,5.1384,4.937,4.6186,4.5932,4.2813,2.9103,4.2405,3.9547,3.8222,3.6483,3.5366,3.1659,4.8938,6.4124,4.2348,4.1401,5.4437,3.4454,3.1761,3.3629,6.138,6.1602,4.2696,3.4442,5.9756,2.8599,4.0151,4.0371,5.9143,3.9478,4.0382,4.5026,5.7649,4.3601,4.5551,5.4027,3.3992,4.9149,3.5608,4.4646,5.278,5.9045,4.0368,3.5458,5.7373,5.4236,4.3083,3.4694,5.3341,3.5506,4.0704,4.2013,4.1001,4.593,5.9551,5.203,3.6556,4.7655,4.2306,5.4106,4.3374,5.1178,4.0389,5.2531,5.2577,3.2022,4.7806,3.4232,3.9884,5.4456,5.1628,3.8114,5.3173,4.1635,3.8558,2.9852,6.1406,4.3445,5.4501,5.6834,5.1427,6.3073,3.7838,4.3837,3.5939,3.2818,4.995,4.6192,2.9495,4.4783,4.4619,3.1838,3.3953,3.5178,4.1185,4.1516,5.3342,4.4987,5.1555,5.4999,5.4601,4.2271,5.6581,4.7844,5.6412,5.0585,3.4526,3.6035,3.6157,2.6871,4.9446,4.0959,4.8915,4.9149,2.5771,4.4191,4.0954,3.9103,4.718,5.6616,5.3375,2.612,5.338,3.5358,5.2181,4.5186,5.6223,3.0185,3.6392,2.9713,4.1532,4.3728,4.0917,5.078,3.1638,5.038,6.1525,4.353,2.9581,3.1529,4.9978,4.5267,4.0983,3.7724,4.8026,4.483,3.9304,4.4411,4.4232,4.3998,3.313,5.919,6.1784,5.6708,4.3453,3.4196,4.0537,5.5519,4.1408,4.2288,3.6827,5.4267,3.8969,4.5033,5.1971,5.5676,4.9891,4.9071,3.7205,3.8491,3.288,4.0446,3.6714,5.6891,3.4863,3.1951,3.5622,2.8784,3.1482,6.3984,3.6408,5.8003,4.9372,5.2292,4.9062,4.7217,2.7466,4.474,4.0109,3.02,5.6735,5.7425,2.6901,3.8178,4.8667,3.6637,5.7013,3.0924,4.2692,3.6688,3.6052,5.5741
6.4747,5.1754,3.5865,6.2242,3.9992,3.5447,6.0151,3.4588,4.423,5.434,4.4639,3.2386,3.8913,3.8833,6.0151,3.4589,5.8318,3.3072,5.5555,4.0233,4.3602,4.3678,5.0196,4.3941,6.1258,4.5373,4.634,5.2866,4.2574,4.1706,4.4983,4.0709,5.2447,5.3524,4.9446,5.381,4.2659,5.6775,5.2267,4.7514,4.3054,4.041,5.4111,4.4223,3.2577,3.5257,4.0134,5.2844,5.2361,5.0324,4.7025,4.6516,4.3493,2.9995,4.3008,4.0232,3.9124,3.7266,3.5843,3.1997,4.9882,6.4993,4.313,4.191,5.5443,3.5033,3.2122,3.4731,6.2379,6.2202,4.3352,3.4872,6.0398,2.9279,4.0842,4.1008,6.0151,4.0425,4.1378,4.6003,5.8315,4.4091,4.637,5.4418,3.4875,4.9684,3.6301,4.5439,5.3766,6.0131,4.1007,3.5972,5.8477,5.5027,4.4089,3.512,5.4331,3.6085,4.1715,4.2876,4.1541,4.6345,6.0091,5.2148,3.7006,4.8426,4.2982,5.4815,4.4093,5.1834,4.0926,5.3474,5.3527,3.25,4.8562,3.4598,4.0318,5.5081,5.2567,3.8902,5.4004,4.2138,3.9073,3.0303,6.2029,4.412,5.5746,5.7117,5.2083,6.3761,3.8503,4.451,3.6505,3.3224,5.0846,4.6958,2.9832,4.5509,4.5341,3.2287,3.4469,3.5626,4.17,4.2125,5.3833,4.5789,5.2595,5.6023,5.5148,4.2853,5.772,4.7973,5.7399,5.1519,3.4872,3.7042,3.6583,2.7655,4.9688,4.1533,4.9707,4.9501,2.6652,4.5112,4.1856,3.976,4.8197,5.7278,5.4403,2.662,5.4172,3.5782,5.3151,4.6719,5.7226,3.0769,3.6886,3.0217,4.2129,4.4403,4.1702,5.1277,3.2728,5.1233,6.2672,4.452,3.0326,3.1929,5.0916,4.6216,4.1649,3.9363,4.8842,4.5553,3.9993,4.515,4.4808,4.4804,3.3549,6.0264,6.2394,5.7308,4.4291,3.4978,4.1548,5.6495,4.2013,4.3248,3.788,5.5087,4.005,4.5788,5.2921,5.7077,5.0721,4.9655,3.7889,3.9126,3.337,4.1426,3.7204,5.7395,3.5551,3.2894,3.6036,2.9764,3.1971,6.4681,3.682,5.9116,5.0275,5.3007,4.9893,4.8182,2.7945,4.5225,4.0938,3.0557,5.7787,5.8109,2.7372,3.9044,4.8773,3.7179,5.7588,3.1225,4.3176,3.7761,3.6486,5.6772
6.561,5.2409,3.6357,6.2852,4.0929,3.5977,6.0886,3.5062,4.4903,5.5289,4.5549,3.3093,3.9906,3.9298,6.0964,3.5343,5.9152,3.3551,5.6386,4.0772,4.4372,4.4611,5.1033,4.4619,6.1854,4.6082,4.7236,5.3878,4.4259,4.2308,4.4991,4.1242,5.3803,5.4507,5.029,5.489,4.3288,5.8133,5.3265,4.8323,4.3839,4.102,5.4717,4.53,3.3038,3.5619,4.0691,5.3501,5.3405,5.1331,4.7937,4.7149,4.4203,3.094,4.3665,4.099,4.0085,3.8114,3.6383,3.2415,5.0896,6.5905,4.3947,4.2468,5.6511,3.5706,3.2559,3.5891,6.3404,6.2814,4.4073,3.5357,6.1092,3.0034,4.1611,4.167,6.12,4.1425,4.2408,4.7031,5.9034,4.4639,4.7254,5.4847,3.5821,5.0269,3.7058,4.6299,5.4822,6.1274,4.1681,3.6551,5.9649,5.5878,4.5135,3.5619,5.5385,3.6756,4.2753,4.3827,4.2131,4.6812,6.0681,5.2286,3.7496,4.9258,4.3724,5.5578,4.4865,5.2545,4.1519,5.4479,5.4544,3.3068,4.9374,3.5039,4.0791,5.5754,5.357,3.9744,5.4896,4.2692,3.9638,3.0837,6.2698,4.4838,5.7009,5.7411,5.2795,6.4494,3.9197,4.5211,3.7129,3.3694,5.1803,4.7782,3.025,4.6287,4.6129,3.2829,3.5069,3.6104,4.2274,4.2787,5.4374,4.6644,5.3698,5.7108,5.5744,4.3474,5.8892,4.8123,5.8449,5.2511,3.5271,3.8105,3.7058,2.8502,4.9942,4.2148,5.0562,4.9902,2.7646,4.6072,4.2792,4.0482,4.9284,5.8001,5.5492,2.7194,5.5026,3.6243,5.4187,4.8272,5.8295,3.1405,3.7438,3.0792,4.2791,4.5115,4.2551,5.1823,3.3881,5.2148,6.3845,4.5555,3.1143,3.2411,5.1912,4.7245,4.2374,4.104,4.9716,4.6336,4.0728,4.5951,4.5435,4.5651,3.4033,6.135,6.3035,5.7955,4.5188,3.5851,4.2606,5.7537,4.2684,4.425,3.897,5.5969,4.1177,4.6598,5.3932,5.8499,5.1611,5.027,3.8635,3.9838,3.3946,4.244,3.7749,5.795,3.632,3.39,3.6517,3.0802,3.2557,6.5432,3.7304,6.0295,5.1237,5.3779,5.0786,4.9222,2.8515,4.5767,4.1821,3.0997,5.8902,5.8842,2.7911,4.0001,4.8905,3.7803,5.8207,3.1605,4.3703,3.8876,3.7005,5.7869
6.6517,5.3116,3.6926,6.35,4.192,3.6589,6.1664,3.5586,4.5625,5.6296,4.6507,3.3862,4.0927,3.9809,6.1827,3.6164,6.0016,3.4107,5.7276,4.136,4.5212,4.5581,5.1929,4.5349,6.2471,4.6851,4.8183,5.4955,4.5975,4.2936,4.5043,4.1807,5.5189,5.555,5.1193,5.6036,4.3964,5.9513,5.4324,4.9187,4.4671,4.1693,5.5368,4.6416,3.3571,3.6048,4.1316,5.421,5.4515,5.2391,4.8923,4.7831,4.4944,3.194,4.4379,4.1823,4.1105,3.9028,3.6987,3.2918,5.198,6.6862,4.4799,4.3077,5.7641,3.6473,3.3076,3.7109,6.4456,6.3441,4.4861,3.5899,6.1839,3.0863,4.246,4.2358,6.2291,4.2476,4.3472,4.8111,5.9806,4.5246,4.8202,5.5316,3.6829,5.0905,3.7876,4.7226,5.5947,6.2472,4.239,3.7198,6.0889,5.679,4.6222,3.6193,5.6503,3.7521,4.3818,4.4864,4.2775,4.7333,6.1323,5.2449,3.8026,5.0151,4.4535,5.6398,4.5692,5.3311,4.2168,5.5547,5.5626,3.3729,5.0244,3.5557,4.1303,5.6479,5.4637,4.0642,5.5851,4.3301,4.0256,3.1457,6.3416,4.56,5.8293,5.7717,5.3563,6.5272,3.9921,4.5941,3.7812,3.4231,5.2823,4.8664,3.0752,4.7117,4.6984,3.3468,3.5753,3.6615,4.291,4.3505,5.4966,4.7554,5.4864,5.8253,5.6391,4.4134,6.0096,4.8299,5.9561,5.3561,3.5726,3.9225,3.7583,2.9413,5.0214,4.2804,5.1481,5.0353,2.8752,4.7073,4.3764,4.1268,5.0439,5.8786,5.6644,2.7843,5.5942,3.6742,5.5289,4.9847,5.9431,3.2095,3.8051,3.1441,4.3519,4.5863,4.3463,5.242,3.5097,5.3124,6.5046,4.6635,3.203,3.2978,5.2964,4.8354,4.3159,4.2758,5.0649,4.718,4.1508,4.6813,4.6114,4.654,3.4585,6.245,6.3711,5.8651,4.6143,3.6815,4.371,5.8645,4.3423,4.5297,4.0096,5.6915,4.2351,4.7465,5.5005,5.9946,5.256,5.0919,3.9444,4.063,3.4609,4.3487,3.8353,5.8559,3.7172,3.4967,3.7069,3.1899,3.3243,6.6237,3.7863,6.1539,5.2257,5.461,5.1741,5.0335,2.9178,4.6365,4.276,3.1525,6.0078,5.9624,2.8521,4.1051,4.9064,3.8512,5.8871,3.2069,4.4275,4.0033,3.7613,5.9032
6.7469,5.3877,3.7571,6.4187,4.2966,3.7284,6.2487,3.6162,4.6397,5.7361,4.7514,3.4694,4.1976,4.0368,6.274,3.7051,6.0911,3.4741,5.8226,4.2,4.6125,4.6586,5.2882,4.6135,6.311,4.7682,4.9183,5.6095,4.7723,4.3591,4.5142,4.2406,5.6606,5.6651,5.2157,5.7247,4.4688,6.0918,5.5441,5.0107,4.5551,4.2431,5.6067,4.757,3.4179,3.6546,4.2013,5.4972,5.569,5.3503,4.9981,4.8564,4.5717,3.2993,4.515,4.2732,4.2184,4.0007,3.7656,3.3507,5.3134,6.7866,4.5687,4.3738,5.8832,3.7337,3.3677,3.8384,6.5537,6.4084,4.5718,3.6501,6.2641,3.1766,4.3388,4.3076,6.3427,4.3578,4.4569,4.924,6.0633,4.5913,4.9215,5.5824,3.7898,5.1592,3.8758,4.822,5.7142,6.3724,4.3136,3.7915,6.2193,5.7763,4.735,3.6845,5.7686,3.8381,4.4909,4.5987,4.3474,4.7908,6.2018,5.2638,3.86,5.1107,4.5416,5.7273,4.6574,5.4133,4.2875,5.6676,5.6773,3.4483,5.1172,3.6155,4.1858,5.7254,5.5768,4.1594,5.6868,4.3966,4.0929,3.2165,6.4186,4.6407,5.9599,5.8039,5.4388,6.6099,4.0675,4.6702,3.8556,3.4837,5.3903,4.9605,3.1341,4.8001,4.7908,3.4205,3.6524,3.7159,4.361,4.4279,5.5609,4.8517,5.6093,5.9458,5.7091,4.4836,6.1336,4.8503,6.0735,5.4669,3.6238,4.04,3.8161,3.0387,5.0505,4.3505,5.2465,5.0856,2.9968,4.8114,4.4771,4.212,5.1661,5.9633,5.7857,2.8568,5.6919,3.7282,5.6454,5.1447,6.0632,3.2841,3.8726,3.2163,4.4315,4.6649,4.4437,5.3067,3.6375,5.4162,6.6277,4.7759,3.2988,3.3631,5.4073,4.9542,4.4004,4.4517,5.1641,4.8085,4.2335,4.7738,4.6846,4.7471,3.5207,6.3567,6.4422,5.9397,4.7157,3.7871,4.4859,5.9818,4.4233,4.6386,4.1257,5.7925,4.3569,4.8389,5.6139,6.1417,5.3568,5.1603,4.0317,4.1502,3.5361,4.4567,3.9017,5.9223,3.8107,3.6095,3.7694,3.3054,3.4029,6.7099,3.85,6.2846,5.3335,5.5499,5.2759,5.1519,2.9937,4.7022,4.3754,3.2143,6.1316,6.0455,2.9201,4.2191,4.9253,3.9307,5.9583,3.262,4.4892,4.1231,3.8311,6.0259
6.847,5.4691,3.8297,6.4913,4.4064,3.8063,6.3355,3.6792,4.722,5.8483,4.857,3.5589,4.3053,4.0979,6.3704,3.8004,6.1838,3.5457,5.9236,4.2695,4.7109,4.7627,5.3893,4.6976,6.3773,4.8575,5.0236,5.7297,4.9504,4.4275,4.5288,4.3041,5.8056,5.7811,5.318,5.8521,4.5462,6.2348,5.6615,5.1084,4.648,4.3235,5.6814,4.876,3.4864,3.7114,4.2781,5.5785,5.6929,5.4665,5.1112,4.9347,4.6523,3.4098,4.598,4.3716,4.3322,4.105,3.839,3.4186,5.4356,6.8919,4.6612,4.4454,6.0081,3.8299,3.4363,3.9714,6.6648,6.4745,4.6642,3.7164,6.3497,3.2743,4.4397,4.3823,6.4608,4.4731,4.5699,5.0419,6.1515,4.6639,5.0293,5.6374,3.9029,5.2332,3.9701,4.9281,5.8406,6.5028,4.3919,3.8704,6.356,5.8796,4.8518,3.7576,5.8931,3.9337,4.6027,4.7195,4.4228,4.8538,6.2766,5.2855,3.9219,5.2124,4.6367,5.8204,4.751,5.5012,4.3641,5.7867,5.7985,3.5333,5.2158,3.6833,4.2458,5.8081,5.6961,4.26,5.7947,4.4689,4.1657,3.2964,6.5008,4.7262,6.0928,5.8378,5.527,6.6973,4.1462,4.7495,3.9359,3.5515,5.5044,5.0604,3.202,4.894,4.89,3.5042,3.7381,3.774,4.4375,4.5111,5.6304,4.9534,5.7381,6.072,5.7842,4.5581,6.2611,4.8737,6.197,5.5832,3.6811,4.163,3.8793,3.1424,5.0818,4.4249,5.3513,5.141,3.1294,4.9196,4.5811,4.3038,5.2948,6.0542,5.9129,2.9369,5.7959,3.7863,5.7682,5.3072,6.1897,3.3643,3.9464,3.296,4.518,4.7475,4.5475,5.3766,3.7714,5.5262,6.7539,4.8926,3.4016,3.4374,5.5238,5.0807,4.4909,4.6318,5.2692,4.9053,4.3207,4.8725,4.7631,4.8444,3.5903,6.4701,6.5172,6.0193,4.8228,3.9018,4.6053,6.1055,4.5113,4.7519,4.2453,5.8997,4.4832,4.937,5.7333,6.2915,5.4634,5.2325,4.1253,4.2455,3.6203,4.568,3.9742,5.994,3.9124,3.7284,3.8395,3.4266,3.4919,6.8017,3.9218,6.4214,5.4469,5.6447,5.3841,5.2774,3.0792,4.7737,4.4802,3.2853,6.2612,6.1336,2.9953,4.3421,4.9475,4.0189,6.0344,3.3259,4.5555,4.2468,3.9101,6.1549
6.9519,5.5559,3.9102,6.5678,4.5216,3.8928,6.4268,3.7477,4.8095,5.9661,4.9674,3.6546,4.4157,4.1641,6.4717,3.9023,6.2797,3.6253,6.0304,4.3445,4.8166,4.8702,5.4962,4.7875,6.446,4.953,5.1339,5.8561,5.132,4.499,4.5483,4.3715,5.9539,5.9027,5.4262,5.9856,4.6286,6.3804,5.7845,5.2117,4.7457,4.4107,5.7609,4.9987,3.5629,3.7753,4.3623,5.6651,5.823,5.5875,5.2314,5.0179,4.7363,3.5256,4.6869,4.4776,4.4516,4.2158,3.919,3.4958,5.5644,7.0021,4.7573,4.5226,6.1388,3.9357,3.5137,4.1096,6.7789,6.5423,4.7634,3.789,6.4407,3.3793,4.5485,4.4601,6.5836,4.5934,4.6862,5.1644,6.2451,4.7425,5.1434,5.6964,4.022,5.3123,4.0706,5.0409,5.9737,6.6381,4.4739,3.9565,6.4989,5.989,4.9725,3.8388,6.0236,4.0388,4.717,4.8487,4.5039,4.9224,6.3567,5.3104,3.9885,5.3203,4.7388,5.919,4.85,5.5946,4.4466,5.9117,5.9259,3.628,5.32,3.7594,4.3105,5.8958,5.8215,4.3661,5.9088,4.5468,4.2442,3.3853,6.5884,4.8163,6.228,5.8735,5.6208,6.7897,4.228,4.8322,4.0222,3.6266,5.6245,5.166,3.2792,4.9933,4.996,3.5979,3.8327,3.8356,4.5206,4.6001,5.7049,5.0604,5.8727,6.2039,5.8647,4.637,6.3922,4.9004,6.3263,5.7051,3.7444,4.2914,3.9481,3.2523,5.1156,4.5039,5.4625,5.2016,3.2726,5.0317,4.6885,4.4022,5.4299,6.1513,6.0459,3.0245,5.906,3.8489,5.8972,5.4723,6.3225,3.4503,4.0266,3.3829,4.6115,4.8341,4.6574,5.4517,3.9112,5.6422,6.8833,5.0135,3.5112,3.5206,5.6457,5.2147,4.5873,4.8161,5.3802,5.0082,4.4124,4.9774,4.847,4.9458,3.6672,6.5853,6.596,6.1039,4.9357,4.0254,4.7291,6.2356,4.6065,4.8693,4.3683,6.0133,4.6137,5.0408,5.8586,6.4437,5.5758,5.3086,4.225,4.3488,3.7135,4.6825,4.0531,6.0711,4.0223,3.8532,3.9174,3.5533,3.591,6.8992,4.0018,6.5641,5.5659,5.7453,5.4984,5.4095,3.1744,4.8509,4.5904,3.3657,6.3965,6.2266,3.0776,4.4739,4.973,4.1159,6.1153,3.3991,4.6265,4.3743,3.9984,6.2901
7.0618,5.6479,3.9988,6.6481,4.6419,3.9879,6.5225,3.8219,4.9021,6.0892,5.0826,3.7564,4.5287,4.2356,6.578,4.0106,6.3789,3.7133,6.1431,4.4251,4.9295,4.9812,5.6087,4.8829,6.5172,5.0545,5.2494,5.9885,5.3172,4.5737,4.5728,4.4428,6.1056,6.0299,5.5401,6.125,4.7161,6.5285,5.9129,5.3207,4.8481,4.5045,5.8453,5.1248,3.6474,3.8461,4.4539,5.7567,5.9591,5.7132,5.3587,5.106,4.8237,3.6464,4.7818,4.591,4.5765,4.3329,4.0054,3.5822,5.6997,7.1172,4.857,4.6055,6.2751,4.0512,3.6,4.2529,6.8962,6.612,4.8695,3.868,6.5369,3.4915,4.6651,4.5411,6.7111,4.7185,4.8056,5.2916,6.344,4.827,5.2637,5.7596,4.1469,5.3966,4.1771,5.1603,6.1132,6.7782,4.5598,4.0498,6.6476,6.1043,5.0969,3.9282,6.1601,4.1536,4.8339,4.986,4.5907,4.9965,6.442,5.3383,4.0597,5.4342,4.8479,6.0231,4.9543,5.6936,4.535,6.0424,6.0595,3.7322,5.4299,3.8437,4.38,5.9884,5.953,4.4773,6.029,4.6307,4.3284,3.4834,6.6814,4.9112,6.3655,5.9111,5.7203,6.8868,4.313,4.9182,4.1144,3.7092,5.7503,5.2774,3.3657,5.098,5.1086,3.7017,3.936,3.9011,4.6105,4.6951,5.7846,5.1725,6.0128,6.3411,5.9504,4.7204,6.5268,4.9305,6.4613,5.8323,3.814,4.4249,4.0225,3.3683,5.152,4.5874,5.5801,5.2674,3.4261,5.1477,4.7992,4.5071,5.571,6.2546,6.1845,3.1195,6.0221,3.916,6.0322,5.6399,6.4613,3.542,4.1132,3.4771,4.7119,4.9248,4.7733,5.532,4.0567,5.7643,7.0159,5.1385,3.6276,3.613,5.7728,5.356,4.6896,5.0047,5.497,5.1172,4.5086,5.0884,4.9364,5.0513,3.7516,6.7025,6.6788,6.1935,5.054,4.1578,4.8572,6.3719,4.7088,4.9907,4.4944,6.1331,4.7483,5.1503,5.9897,6.5986,5.6937,5.3889,4.3309,4.4602,3.8156,4.8001,4.1382,6.1536,4.1402,3.9837,4.003,3.6853,3.7005,7.0023,4.0901,6.7124,5.6904,5.8518,5.6189,5.5485,3.2793,4.9339,4.7059,3.4557,6.5373,6.3245,3.1669,4.6143,5.002,4.2217,6.2013,3.4817,4.7021,4.5054,4.0961,6.4312
7.1768,5.7451,4.0977,6.7322,4.7671,4.0948,6.6225,3.9018,5,6.2175,5.2023,3.8643,4.6443,4.3125,6.689,4.1252,6.4814,3.8116,6.2614,4.5114,5.0496,5.0956,5.7266,4.984,6.5908,5.162,5.3698,6.1268,5.5058,4.6516,4.6024,4.5181,6.2608,6.1623,5.6597,6.2706,4.8087,6.6792,6.0485,5.4353,4.9552,4.6051,5.9345,5.2543,3.7401,3.9239,4.5534,5.8533,6.1033,5.845,5.4952,5.199,4.9147,3.7721,4.8833,4.7126,4.7068,4.456,4.0982,3.6782,5.8432,7.2372,4.9602,4.6942,6.42,4.1788,3.6959,4.4011,7.0165,6.6834,4.9832,3.9536,6.6384,3.6106,4.7904,4.6253,6.8432,4.8483,4.928,5.4241,6.4481,4.9172,5.3922,5.8267,4.2775,5.4861,4.2895,5.286,6.2592,6.925,4.6505,4.1505,6.8055,6.2254,5.225,4.0262,6.3035,4.2806,4.9532,5.1345,4.6835,5.0761,6.5325,5.3695,4.1358,5.554,4.9639,6.1324,5.0639,5.7979,4.6291,6.1787,6.1988,3.8485,5.5452,3.9375,4.4544,6.086,6.0905,4.5937,6.1551,4.7218,4.4184,3.5915,6.7798,5.0109,6.5054,5.9506,5.8252,6.9888,4.4012,5.0076,4.2123,3.7995,5.883,5.3943,3.4616,5.2082,5.2279,3.8186,4.0494,3.9703,4.7072,4.7958,5.8693,5.2897,6.1596,6.4858,6.0412,4.8083,6.6651,4.964,6.6018,5.9648,3.8899,4.5634,4.1027,3.4902,5.1913,4.6755,5.7038,5.3382,3.5928,5.2675,4.9133,4.6189,5.7202,6.3638,6.3286,3.2218,6.1441,3.9877,6.176,5.8101,6.6059,3.6395,4.2064,3.5785,4.8203,5.0196,4.895,5.6173,4.2076,5.8922,7.1517,5.2681,3.7506,3.7176,5.905,5.5063,4.7975,5.1975,5.6196,5.2323,4.6091,5.2054,5.0311,5.1632,3.8436,6.8215,6.7656,6.288,5.1778,4.299,4.9895,6.5141,4.8189,5.1161,4.6237,6.259,4.8867,5.2655,6.1265,6.756,5.8171,5.4734,4.4428,4.5802,3.9273,4.9208,4.2297,6.2414,4.2663,4.1197,4.0966,3.8224,3.8214,7.1109,4.1868,6.8693,5.8205,5.964,5.7454,5.6981,3.3946,5.0225,4.8264,3.5555,6.6837,6.4271,3.2632,4.7667,5.0344,4.3368,6.2921,3.574,4.7825,4.6406,4.2038,6.5784
